iVersion	Since	List	Item
2.6.0	2.2.0	ParticleQuantity	Fluence
2.6.0	2.3.1	ParticleQuantity	GeometricFactor
2.6.0	1.2.1	ParticleQuantity	Gyrofrequency
2.6.0	1.1.0	ParticleQuantity	HeatFlux
2.6.0	2.3.2	ParticleQuantity	LShell
2.6.0	1.1.0	ParticleQuantity	Mass
2.6.0	1.1.0	ParticleQuantity	MassDensity
2.6.0	2.0.2	ParticleQuantity	MassNumber
2.6.0	2.3.2	ParticleQuantity	MassPerCharge
2.6.0	1.1.0	ParticleQuantity	NumberDensity
2.6.0	1.1.0	ParticleQuantity	NumberFlux
2.6.0	2.2.2	ParticleQuantity	ParticleRadius
2.6.0	2.3.2	ParticleQuantity	ParticleRigidity
2.6.0	1.1.0	ParticleQuantity	PhaseSpaceDensity
2.6.0	1.2.1	ParticleQuantity	PlasmaFrequency
2.6.0	1.1.0	ParticleQuantity	Pressure
2.6.0	1.1.0	ParticleQuantity	SonicMachNumber
2.6.0	2.0.1	ParticleQuantity	SoundSpeed
2.6.0	1.1.0	ParticleQuantity	Temperature
2.6.0	1.1.0	ParticleQuantity	ThermalSpeed
2.6.0	1.1.0	ParticleQuantity	Velocity
2.6.0	1.1.0	ParticleType	Aerosol
2.6.0	1.1.0	ParticleType	AlphaParticle
2.6.0	1.3.6	ParticleType	Atom
2.6.0	1.1.0	ParticleType	Dust
2.6.0	1.1.0	ParticleType	Electron
2.6.0	1.1.0	ParticleType	Ion
2.6.0	1.1.0	ParticleType	Molecule
2.6.0	1.3.6	ParticleType	Neutron
2.6.0	1.1.0	ParticleType	Proton
2.6.0	2.3.1	ParticleType	Positron
2.6.0	1.3.0	PhenomenonType	ActiveRegion
2.6.0	1.1.0	PhenomenonType	Aurora
2.6.0	1.1.0	PhenomenonType	BowShockCrossing
2.6.0	1.3.0	PhenomenonType	CoronalHole
2.6.0	1.1.0	PhenomenonType	CoronalMassEjection
2.6.0	1.3.0	PhenomenonType	EITWave
2.6.0	1.1.0	PhenomenonType	EnergeticSolarParticleEvent
2.6.0	1.1.0	PhenomenonType	ForbushDecrease
2.6.0	1.1.0	PhenomenonType	GeomagneticStorm
2.6.0	1.1.0	PhenomenonType	InterplanetaryShock
2.6.0	1.3.0	PhenomenonType	MagneticCloud
2.6.0	1.1.0	PhenomenonType	MagnetopauseCrossing
2.6.0	1.3.0	PhenomenonType	RadioBurst
2.6.0	2.2.2	PhenomenonType	SectorBoundaryCrossing
2.6.0	1.1.0	PhenomenonType	SolarFlare
2.6.0	1.1.0	PhenomenonType	SolarWindExtreme
2.6.0	2.0.2	PhenomenonType	StreamInteractionRegion
2.6.0	1.2.0	PhenomenonType	Substorm
2.6.0	2.6.0	ProcCoeffType	CrossSection
2.6.0	2.6.0	ProcCoeffType	Frequency
2.6.0	2.6.0	ProcCoeffType	Other
2.6.0	2.6.0	ProcCoeffType	Rate
2.6.0	1.1.0	ProcessingLevel	Calibrated
2.6.0	1.1.0	ProcessingLevel	Raw
2.6.0	1.1.0	ProcessingLevel	Uncalibrated
2.6.0	2.4.0	ProcessingLevel	ValueAdded
2.6.0	2.6.0	ProcessType	ChargeExchange
2.6.0	2.6.0	ProcessType	DissociativeRecombination
2.6.0	2.6.0	ProcessType	ElectronImpact
2.6.0	2.6.0	ProcessType	PhotoIonization
2.6.0	2.6.0	Product	2DCuts
2.6.0	2.6.0	Product	3DCubes
2.6.0	2.6.0	Product	Lines
2.6.0	2.6.0	Product	SpatialSeries
2.6.0	2.6.0	Product	Spectra
2.6.0	2.6.0	Product	TimeSeries
2.6.0	1.3.4	Projection	IJ
2.6.0	1.3.4	Projection	IK
2.6.0	1.3.4	Projection	JK
2.6.0	2.6.0	Qualifier	Incident
2.6.0	1.2.1	Qualifier	Anisotropy
2.6.0	1.3.6	Qualifier	Array
2.6.0	2.3.2	Qualifier	AutoSpectrum
2.6.0	1.1.0	Qualifier	Average
2.6.0	1.2.1	Qualifier	Characteristic
2.6.0	1.1.0	Qualifier	Circular
2.6.0	2.3.2	Qualifier	Coherence
2.6.0	1.3.4	Qualifier	Column
2.6.0	1.2.0	Qualifier	Component
2.6.0	2.2.9	Qualifier	Confidence
2.6.0	2.2.1	Qualifier	Core
2.6.0	1.3.0	Qualifier	CrossSpectrum
2.6.0	1.1.0	Qualifier	Deviation
2.6.0	1.1.0	Qualifier	Differential
2.6.0	1.3.5	Qualifier	Direction
2.6.0	1.3.0	Qualifier	Directional
2.6.0	1.3.4	Qualifier	DirectionAngle
2.6.0	2.3.1	Qualifier	DirectionCosine
2.6.0	2.3.2	Qualifier	EncodedParameter
2.6.0	1.1.0	Qualifier	FieldAligned
2.6.0	1.1.0	Qualifier	Fit
2.6.0	1.1.0	Qualifier	Group
2.6.0	2.2.1	Qualifier	Halo
2.6.0	2.3.2	Qualifier	ImaginaryPart
2.6.0	1.1.0	Qualifier	Integral
2.6.0	1.1.0	Qualifier	Linear
2.6.0	1.1.0	Qualifier	LineOfSight
2.6.0	1.1.0	Qualifier	Magnitude
2.6.0	2.2.0	Qualifier	Maximum
2.6.0	2.2.0	Qualifier	Median
2.6.0	2.2.0	Qualifier	Minimum
2.6.0	1.1.0	Qualifier	Moment
2.6.0	1.1.0	Qualifier	Parallel
2.6.0	1.1.0	Qualifier	Peak
2.6.0	1.1.0	Qualifier	Perpendicular
2.6.0	1.2.1	Qualifier	Perturbation
2.6.0	1.2.1	Qualifier	Phase
2.6.0	1.2.1	Qualifier	PhaseAngle
2.6.0	2.3.2	Qualifier	PowerSpectralDensity
2.6.0	1.3.4	Qualifier	Projection
2.6.0	1.3.4	Qualifier	Pseudo
2.6.0	1.1.0	Qualifier	Ratio
2.6.0	2.3.2	Qualifier	RealPart
2.6.0	1.2.0	Qualifier	Scalar
2.6.0	1.2.0	Qualifier	Spectral
2.6.0	1.2.0	Qualifier	StandardDeviation
2.6.0	1.1.0	Qualifier	StokesParameters
2.6.0	2.2.1	Qualifier	Strahl
2.6.0	2.2.1	Qualifier	Superhalo
2.6.0	1.2.0	Qualifier	Symmetric
2.6.0	1.2.0	Qualifier	Tensor
2.6.0	1.3.6	Qualifier	Total
2.6.0	1.3.0	Qualifier	Trace
2.6.0	1.2.0	Qualifier	Uncertainty
2.6.0	1.1.0	Qualifier	Variance
2.6.0	1.0.0	Qualifier	Vector
2.6.0	1.2.0	Region	Asteroid
2.6.0	1.2.0	Region	Comet
2.6.0	1.1.0	Region	Earth
2.6.0	1.1.0	Region	Heliosphere
2.6.0	1.3.2	Region	Interstellar
2.6.0	1.2.0	Region	Jupiter
2.6.0	1.2.0	Region	Mars
2.6.0	1.2.0	Region	Mercury
2.6.0	1.2.0	Region	Neptune
2.6.0	1.2.0	Region	Pluto
2.6.0	1.2.0	Region	Saturn
2.6.0	1.1.0	Region	Sun
2.6.0	1.2.0	Region	Uranus
2.6.0	1.2.0	Region	Venus
2.6.0	2.2.0	RenderingAxis	ColorBar
2.6.0	2.2.0	RenderingAxis	Horizontal
2.6.0	2.2.0	RenderingAxis	Vertical
2.6.0	2.4.1	Role	Author
2.6.0	1.2.1	Role	ArchiveSpecialist
2.6.0	1.1.0	Role	CoInvestigator
2.6.0	2.3.1	Role	CoPI
2.6.0	1.3.0	Role	Contributor
2.6.0	1.1.0	Role	DataProducer
2.6.0	1.1.0	Role	DeputyPI
2.6.0	2.3.1	Role	Developer
2.6.0	2.0.3	Role	FormerPI
2.6.0	1.1.0	Role	GeneralContact
2.6.0	2.3.1	Role	HostContact
2.6.0	2.3.2	Role	InstrumentLead
2.6.0	2.4.1	Role	InstrumentScientist
2.6.0	1.2.0	Role	MetadataContact
2.6.0	2.3.2	Role	MissionManager
2.6.0	2.3.2	Role	MissionPrincipalInvestigator
2.6.0	1.1.0	Role	PrincipalInvestigator
2.6.0	2.3.2	Role	ProgramManager
2.6.0	2.3.2	Role	ProgramScientist
2.6.0	2.3.1	Role	ProjectEngineer
2.6.0	2.3.1	Role	ProjectManager
2.6.0	1.1.0	Role	ProjectScientist
2.6.0	1.3.0	Role	Publisher
2.6.0	1.1.0	Role	Scientist
2.6.0	1.1.0	Role	TeamLeader
2.6.0	1.1.0	Role	TeamMember
2.6.0	1.1.0	Role	TechnicalContact
2.6.0	2.3.1	Role	User
2.6.0	2.2.5	Saturn	Dione
2.6.0	2.2.5	Saturn	Enceladus
2.6.0	2.2.5	Saturn	Iapetus
2.6.0	2.2.5	Saturn	Magnetosphere
2.6.0	2.2.5	Saturn	Mimas
2.6.0	2.2.5	Saturn	Rhea
2.6.0	2.2.5	Saturn	Tethys
2.6.0	2.2.5	Saturn	Titan
2.6.0	1.2.1	SavedQuantity	Current
2.6.0	2.6.0	SavedQuantity	CurrentDensity
2.6.0	1.1.0	SavedQuantity	Electric
2.6.0	1.3.0	SavedQuantity	Electromagnetic
2.6.0	1.2.1	SavedQuantity	Gyrofrequency
2.6.0	1.1.0	SavedQuantity	Magnetic
2.6.0	1.2.1	SavedQuantity	PlasmaFrequency
2.6.0	1.1.0	SavedQuantity	Potential
2.6.0	1.1.0	SavedQuantity	PoyntingFlux
2.6.0	1.3.5	SavedQuantity	AkasofuEpsilon
2.6.0	1.3.5	SavedQuantity	AlfvenMachNumber
2.6.0	1.3.5	SavedQuantity	AlfvenVelocity
2.6.0	1.3.6	SavedQuantity	FrequencyToGyrofrequencyRatio
2.6.0	2.2.4	SavedQuantity	IMFClockAngle
2.6.0	1.3.5	SavedQuantity	MagnetosonicMachNumber
2.6.0	1.3.5	SavedQuantity	Other
2.6.0	1.3.5	SavedQuantity	PlasmaBeta
2.6.0	2.2.4	SavedQuantity	SolarUVFlux
2.6.0	1.3.5	SavedQuantity	TotalPressure
2.6.0	1.3.6	SavedQuantity	VCrossB
2.6.0	2.3.1	SavedQuantity	AdiabaticInvariant
2.6.0	2.0.2	SavedQuantity	ArrivalDirection
2.6.0	2.0.2	SavedQuantity	AtomicNumberDetected
2.6.0	1.1.0	SavedQuantity	AverageChargeState
2.6.0	2.3.2	SavedQuantity	ChargeFlux
2.6.0	2.0.2	SavedQuantity	ChargeState
2.6.0	1.1.0	SavedQuantity	CountRate
2.6.0	1.1.0	SavedQuantity	Counts
2.6.0	2.6.0	SavedQuantity	Current
2.6.0	2.6.0	SavedQuantity	CurrentDensity
2.6.0	2.3.2	SavedQuantity	DynamicPressure
2.6.0	1.2.1	SavedQuantity	Energy
2.6.0	2.2.9	SavedQuantity	Entropy
2.6.0	1.2.1	SavedQuantity	EnergyDensity
2.6.0	1.2.1	SavedQuantity	EnergyFlux
2.6.0	2.3.2	SavedQuantity	EnergyPerCharge
2.6.0	1.2.1	SavedQuantity	FlowSpeed
2.6.0	1.3.0	SavedQuantity	FlowVelocity
2.6.0	2.2.0	SavedQuantity	Fluence
2.6.0	2.3.1	SavedQuantity	GeometricFactor
2.6.0	1.2.1	SavedQuantity	Gyrofrequency
2.6.0	1.1.0	SavedQuantity	HeatFlux
2.6.0	2.3.2	SavedQuantity	LShell
2.6.0	1.1.0	SavedQuantity	Mass
2.6.0	1.1.0	SavedQuantity	MassDensity
2.6.0	2.0.2	SavedQuantity	MassNumber
2.6.0	2.3.2	SavedQuantity	MassPerCharge
2.6.0	1.1.0	SavedQuantity	NumberDensity
2.6.0	1.1.0	SavedQuantity	NumberFlux
2.6.0	2.2.2	SavedQuantity	ParticleRadius
2.6.0	2.3.2	SavedQuantity	ParticleRigidity
2.6.0	1.1.0	SavedQuantity	PhaseSpaceDensity
2.6.0	1.2.1	SavedQuantity	PlasmaFrequency
2.6.0	1.1.0	SavedQuantity	Pressure
2.6.0	1.1.0	SavedQuantity	SonicMachNumber
2.6.0	2.0.1	SavedQuantity	SoundSpeed
2.6.0	1.1.0	SavedQuantity	Temperature
2.6.0	1.1.0	SavedQuantity	ThermalSpeed
2.6.0	1.1.0	SavedQuantity	Velocity
2.6.0	2.6.0	SavedQuantity	2DCuts
2.6.0	2.6.0	SavedQuantity	3DCubes
2.6.0	2.6.0	SavedQuantity	Lines
2.6.0	2.6.0	SavedQuantity	SpatialSeries
2.6.0	2.6.0	SavedQuantity	Spectra
2.6.0	2.6.0	SavedQuantity	TimeSeries
2.6.0	1.3.5	SavedQuantity	Absorption
2.6.0	1.3.5	SavedQuantity	ACElectricField
2.6.0	1.3.5	SavedQuantity	ACMagneticField
2.6.0	2.2.2	SavedQuantity	Albedo
2.6.0	1.3.5	SavedQuantity	DopplerFrequency
2.6.0	1.1.0	SavedQuantity	Emissivity
2.6.0	1.2.1	SavedQuantity	EnergyFlux
2.6.0	1.1.0	SavedQuantity	EquivalentWidth
2.6.0	1.3.5	SavedQuantity	Frequency
2.6.0	1.2.1	SavedQuantity	Gyrofrequency
2.6.0	1.1.0	SavedQuantity	Intensity
2.6.0	1.1.0	SavedQuantity	LineDepth
2.6.0	2.3.1	SavedQuantity	LowerHybridFrequency
2.6.0	1.1.0	SavedQuantity	MagneticField
2.6.0	1.1.0	SavedQuantity	ModeAmplitude
2.6.0	1.2.1	SavedQuantity	PlasmaFrequency
2.6.0	1.1.0	SavedQuantity	Polarization
2.6.0	1.3.5	SavedQuantity	PoyntingFlux
2.6.0	1.3.5	SavedQuantity	PropagationTime
2.6.0	1.1.0	SavedQuantity	StokesParameters
2.6.0	2.3.1	SavedQuantity	UpperHybridFrequency
2.6.0	1.1.0	SavedQuantity	Velocity
2.6.0	2.3.2	SavedQuantity	VolumeEmissionRate
2.6.0	1.3.5	SavedQuantity	Wavelength
2.6.0	1.3.1	ScaleType	LinearScale
2.6.0	1.3.1	ScaleType	LogScale
2.6.0	1.2.0	SimulatedRegion	Asteroid
2.6.0	1.2.0	SimulatedRegion	Comet
2.6.0	1.1.0	SimulatedRegion	Earth
2.6.0	1.1.0	SimulatedRegion	Heliosphere
2.6.0	1.3.2	SimulatedRegion	Interstellar
2.6.0	1.2.0	SimulatedRegion	Jupiter
2.6.0	1.2.0	SimulatedRegion	Mars
2.6.0	1.2.0	SimulatedRegion	Mercury
2.6.0	1.2.0	SimulatedRegion	Neptune
2.6.0	1.2.0	SimulatedRegion	Pluto
2.6.0	1.2.0	SimulatedRegion	Saturn
2.6.0	1.1.0	SimulatedRegion	Sun
2.6.0	1.2.0	SimulatedRegion	Uranus
2.6.0	1.2.0	SimulatedRegion	Venus
2.6.0	2.6.0	SimulatedRegion	Callisto
2.6.0	2.6.0	SimulatedRegion	Enceladus
2.6.0	2.6.0	SimulatedRegion	Europa
2.6.0	2.6.0	SimulatedRegion	Ganymede
2.6.0	2.6.0	SimulatedRegion	Io
2.6.0	2.6.0	SimulatedRegion	Planet
2.6.0	2.6.0	SimulatedRegion	Rhea
2.6.0	2.6.0	SimulatedRegion	Titan
2.6.0	2.6.0	SimulatedRegion	Incident
2.6.0	2.6.0	SimulatedRegion	Title
2.6.0	2.6.0	SimulationType	Hybrid
2.6.0	2.6.0	SimulationType	MHD
2.6.0	2.6.0	SimulationType	PIC
2.6.0	2.6.0	SimulationType	Paraboloid
2.6.0	2.6.0	SimulationType	Test_Particle
2.6.0	1.3.0	SourceType	Ancillary
2.6.0	1.3.0	SourceType	Browse
2.6.0	1.3.0	SourceType	Data
2.6.0	1.3.0	SourceType	Layout
2.6.0	1.3.0	SourceType	Thumbnail
2.6.0	2.6.0	SpecificSimulatedRegion	Callisto
2.6.0	2.6.0	SpecificSimulatedRegion	Enceladus
2.6.0	2.6.0	SpecificSimulatedRegion	Europa
2.6.0	2.6.0	SpecificSimulatedRegion	Ganymede
2.6.0	2.6.0	SpecificSimulatedRegion	Io
2.6.0	2.6.0	SpecificSimulatedRegion	Planet
2.6.0	2.6.0	SpecificSimulatedRegion	Rhea
2.6.0	2.6.0	SpecificSimulatedRegion	Titan
2.6.0	2.6.0	SpecificSimulatedRegion	Incident
2.6.0	2.6.0	SpecificSimulatedRegion	Title
2.6.0	1.2.1	SpectralRange	CaK
2.6.0	1.2.1	SpectralRange	ExtremeUltraviolet
2.6.0	1.1.0	SpectralRange	FarUltraviolet
2.6.0	1.1.0	SpectralRange	GammaRays
2.6.0	1.2.1	SpectralRange	Halpha
2.6.0	1.1.0	SpectralRange	HardXrays
2.6.0	1.2.1	SpectralRange	He10830
2.6.0	1.1.0	SpectralRange	He304
2.6.0	1.1.0	SpectralRange	Infrared
2.6.0	1.2.1	SpectralRange	K7699
2.6.0	1.1.0	SpectralRange	LBHBand
2.6.0	1.1.0	SpectralRange	Microwave
2.6.0	1.2.1	SpectralRange	NaD
2.6.0	1.2.1	SpectralRange	Ni6768
2.6.0	1.1.0	SpectralRange	Optical
2.6.0	1.1.0	SpectralRange	RadioFrequency
2.6.0	1.1.0	SpectralRange	SoftXRays
2.6.0	1.1.0	SpectralRange	Ultraviolet
2.6.0	1.2.1	SpectralRange	WhiteLight
2.6.0	1.1.0	SpectralRange	XRays
2.6.0	2.4.1	Style	EPNTAP
2.6.0	2.3.0	Style	File
2.6.0	2.4.1	Style	Git
2.6.0	2.3.0	Style	HAPI
2.6.0	2.3.0	Style	Listing
2.6.0	2.3.0	Style	Search
2.6.0	2.4.1	Style	TAP
2.6.0	2.3.0	Style	Template
2.6.0	2.3.0	Style	Overview
2.6.0	2.3.0	Style	WebService
2.6.0	1.1.0	Sun	Chromosphere
2.6.0	1.1.0	Sun	Corona
2.6.0	1.1.0	Sun	Interior
2.6.0	1.1.0	Sun	Photosphere
2.6.0	1.1.0	Sun	TransitionRegion
2.6.0	2.3.1	SupportQuantity	DataQuality
2.6.0	2.3.2	SupportQuantity	Housekeeping
2.6.0	2.0.2	SupportQuantity	InstrumentMode
2.6.0	2.3.1	SupportQuantity	Orientation
2.6.0	1.2.0	SupportQuantity	Other
2.6.0	1.2.0	SupportQuantity	Positional
2.6.0	2.4.1	SupportQuantity	Remark
2.6.0	2.3.2	SupportQuantity	RotationMatrix
2.6.0	2.3.1	SupportQuantity	SpinPeriod
2.6.0	2.3.1	SupportQuantity	SpinPhase
2.6.0	2.3.1	SupportQuantity	SpinRate
2.6.0	2.3.2	SupportQuantity	Telemetry
2.6.0	1.2.0	SupportQuantity	Temporal
2.6.0	1.3.1	SupportQuantity	Velocity
2.6.0	2.4.1	SupportQuantity	WebResource
2.6.0	2.4.1	SupportQuantity	WebService
2.6.0	2.6.0	Symmetry	Axial
2.6.0	2.6.0	Symmetry	Central
2.6.0	2.6.0	Symmetry	None
2.6.0	2.6.0	Symmetry	Plane
2.6.0	1.3.4	Text	ASCII
2.6.0	1.3.4	Text	Unicode
2.6.0	2.2.5	Uranus	Ariel
2.6.0	2.2.5	Uranus	Magnetosphere
2.6.0	2.2.5	Uranus	Miranda
2.6.0	2.2.5	Uranus	Oberon
2.6.0	2.2.5	Uranus	Puck
2.6.0	2.2.5	Uranus	Titania
2.6.0	2.2.5	Uranus	Umbriel
2.6.0	2.2.5	Venus	Magnetosphere
2.6.0	1.3.5	WaveQuantity	Absorption
2.6.0	1.3.5	WaveQuantity	ACElectricField
2.6.0	1.3.5	WaveQuantity	ACMagneticField
2.6.0	2.2.2	WaveQuantity	Albedo
2.6.0	1.3.5	WaveQuantity	DopplerFrequency
2.6.0	1.1.0	WaveQuantity	Emissivity
2.6.0	1.2.1	WaveQuantity	EnergyFlux
2.6.0	1.1.0	WaveQuantity	EquivalentWidth
2.6.0	1.3.5	WaveQuantity	Frequency
2.6.0	1.2.1	WaveQuantity	Gyrofrequency
2.6.0	1.1.0	WaveQuantity	Intensity
2.6.0	1.1.0	WaveQuantity	LineDepth
2.6.0	2.3.1	WaveQuantity	LowerHybridFrequency
2.6.0	1.1.0	WaveQuantity	MagneticField
2.6.0	1.1.0	WaveQuantity	ModeAmplitude
2.6.0	1.2.1	WaveQuantity	PlasmaFrequency
2.6.0	1.1.0	WaveQuantity	Polarization
2.6.0	1.3.5	WaveQuantity	PoyntingFlux
2.6.0	1.3.5	WaveQuantity	PropagationTime
2.6.0	1.1.0	WaveQuantity	StokesParameters
2.6.0	2.3.1	WaveQuantity	UpperHybridFrequency
2.6.0	1.1.0	WaveQuantity	Velocity
2.6.0	2.3.2	WaveQuantity	VolumeEmissionRate
2.6.0	1.3.5	WaveQuantity	Wavelength
2.6.0	1.3.4	Waves	Active
2.6.0	1.3.4	Waves	Passive
2.6.0	1.3.4	WaveType	Electromagnetic
2.6.0	1.3.4	WaveType	Electrostatic
2.6.0	1.3.4	WaveType	Hydrodynamic
2.6.0	1.3.4	WaveType	MHD
2.6.0	1.3.4	WaveType	Photon
2.6.0	1.3.4	WaveType	PlasmaWaves
2.6.0	2.6.0	YN	No
2.6.0	2.6.0	YN	Yes
